cod_institucion;nom_institucion;res_acreditacion;nom_programa;metodologia
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ACTUARIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS - BIOQUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16106;DOCTORADO EN CIENCIAS-MATEMÁTICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;421;ESPECIALIZACIÓN EN DERECHO DE FAMILIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ONCOHEMATOLOGIA PEDIATRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5123;MUSICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5122;MUSICA INSTRUMENTAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;6676;FONOAUDIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;21082;GEOGRAFIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3981;CIENCIA POLÍTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;15090;MAESTRIA EN ANTROPOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;18818;ESPECIALIDAD EN REHABILITACION ORAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16229;MAESTRIA EN CIENCIAS ECONOMICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN TRADUCCION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;15091;MAESTRÍA EN CIENCIAS AGRARIAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN DESARROLLO RURAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN HORTICULTURA;Presencial
1107;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;24396;MAESTRÍA EN DISEÑO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16224;DOCTORADO EN CIENCIAS AGRARIAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16715;MAESTRÍA EN ARQUITECTURA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN ARTES PLASTICAS Y VISUALES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CONSTRUCCION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN HABITAT;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN DISEÑO DE MULTIMEDIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ASTRONOMIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN METEOROLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9926;CONTADURIA PUBLICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN INDUSTRIA Y TECNOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;4627;LINGUISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;INGENIERIA MECATRONICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2493;INGENIERIA INDUSTRIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2250;INGENIERIA ELECTRONICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN ANATOMOPATOLOGIA VETERINARIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ANTROPOLOGIA FORENSE;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN CIRUGIA ORAL Y MAXILOFACIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN DERECHO CONSTITUCIONAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;419;ESPECIALIZACIÓN EN DERECHO PRIVADO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN INFECTOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;423;ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO-PROCESALES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;420;ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICAS DE LA SEGURIDAD SOCIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN MEDICINA AEROESPACIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN MEDICINA FORENSE;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN NEUROPEDIATRIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN HEMATOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN PROYECTOS DE DESARROLLO CON PERSPECTIVA DE GENERO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5793;MAESTRÍA EN ADMINISTRACIÓN;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS - BIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS - ESTADISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS FARMACEUTICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS ECONOMICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16208;DOCTORADO EN HISTORIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9601;DOCTORADO EN ENFERMERIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN INGENIERIA ;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN SALUD PUBLICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS - SALUD ANIMAL O PRODUCCION ANIMAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS - ASTRONOMIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS - GEOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2446;MAESTRÍA EN CIENCIAS - METEOROLOGÍA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS FARMACEUTICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS - GEOFISICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN ESTUDIOS DE GENERO AREA MUJER Y DESARROLLO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;1970;MAESTRIA EN PSICOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;1258;MAESTRIA EN ESTUDIOS POLITICOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;14965;MAESTRIA EN MEDIO AMBIENTE Y DESARROLLO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2411;MAESTRÍA EN DERECHO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - AUTOMATIZACION INDUSTRIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16814;MAESTRIA EN INGENIERIA - INGENIERIA AMBIENTAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - TELECOMUNICACIONES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;6975;MAESTRIA EN INGENIERIA -INGENIERIA AGRICOLA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN BIOQUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;11954;MAESTRIA EN DISCAPACIDAD E INCLUSION SOCIAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN FISIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INFECCIONES Y SALUD EN EL TROPICO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;6193;MAESTRIA EN TOXICOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN GEOMATICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN DISEÑO URBANO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN PERINATOLOGIA Y NEONATOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN SALUD FAMILIAR INTEGRAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN CIENCIAS - MATEMATICA APLICADA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPAÑOL Y FILOLOGIA CLASICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2393;MAESTRIA EN ESTUDIOS LITERARIOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN MUSICOTERAPIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACIÓN EN FILOSOFÍA POLÍTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN TERAPIA MIOFUNCIONAL Y DISFAGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN EPIDEMIOLOGIA CLINICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN CIENCIA Y TECNOLOGIA COSMETICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIDAD EN GERIATRIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ANALISIS DE POLITICAS PUBLICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;173;DOCTORADO EN INGENIERIA - INGENIERIA ELECTRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN INGENIERIA -GEOTECNIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9813;DOCTORADO EN INGENIERÍA - INGENIERÍA QUÍMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN CALIDAD DE LA ENERGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN EDUCACION ARTISTICA INTEGRAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ESCRITURAS CREATIVAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACIÓN EN FILOSOFÍA DE LA MENTE;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN GESTION Y GERENCIA DE PROYECTOS AGROPECUARIOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ILUMINACION PUBLICA Y PRIVADA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN INGENIERIA - CONTROL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN INGENIERIA ELECTRICA ELECTRONICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACIÓN EN TEORÍA ÉTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2440;MAESTRÍA EN ESTUDIOS CULTURALES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN PEDAGOGIA DEL PIANO;Presencial
1728;UNIVERSIDAD SERGIO ARBOLEDA;11594;FINANZAS Y COMERCIO EXTERIOR;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;4651;ESPAÑOL Y FILOLOGIA CLASICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;4336;DOCTORADO EN CIENCIAS DEL MAR;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;42;MAESTRIA EN CIENCIAS - BIOESTADISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;40;DOCTORADO EN CIENCIAS - BIOQUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN DIRECCION SINFONICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3284;MAESTRÍA EN BIOINFORMÁTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12549;MAESTRÍA EN DISEÑO;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRIA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRIA EN MATEMÁTICA APLICADA;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRIA EN INGENIERIA AGROINDUSTRIAL;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRÍA EN CONSTRUCCIÓN;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;24;MAESTRÍA EN ESTUDIOS POLÍTICOS;Presencial
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;30;MAESTRIA EN INGENIERIA INDUSTRIAL;Presencial
1103;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRIA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES;Presencial
1103;UNIVERSIDAD NACIONAL DE COLOMBIA;1;MAESTRÍA EN INGENIERÍA - INGENIERÍA ELÉCTRICA;Presencial
1103;UNIVERSIDAD NACIONAL DE COLOMBIA;43;DOCTORADO EN INGENIERÍA - INGENIERÍA QUÍMICA;Presencial
